Iteration,Basic-Block,gen[B],kill[B],in[B],out[B]
0,ENTRY,{},{},{},{}
0,B1,{D1},{D9},{},{}
0,B2,{D2},"{D15, D21, D3, D7}",{},{}
0,B3,{D3},"{D15, D2, D21, D7}",{},{}
0,B4,{D4},{D6},{},{}
0,B5,"{D5, D6, D7}","{D15, D2, D21, D3, D4, D8}",{},{}
0,B6,"{D8, D9}","{D1, D5}",{},{}
0,B7,"{D10, D11, D12, D13, D14, D15}","{D16, D17, D18, D19, D2, D20, D21, D3, D7}",{},{}
0,B8,"{D16, D17, D18, D19, D20, D21}","{D10, D11, D12, D13, D14, D15, D2, D3, D7}",{},{}
0,B9,{D22},{},{},{}
0,B10,"{D23, D24, D25}","{D26, D27, D28}",{},{}
0,B11,"{D26, D27, D28}","{D23, D24, D25}",{},{}
0,EXIT,{},{},{},{}
1,ENTRY,{},{},{},{}
1,B1,{D1},{D9},{},{D1}
1,B2,{D2},"{D15, D21, D3, D7}",{D1},"{D1, D2}"
1,B3,{D3},"{D15, D2, D21, D7}","{D1, D2}","{D1, D3}"
1,B4,{D4},{D6},"{D1, D3}","{D1, D3, D4}"
1,B5,"{D5, D6, D7}","{D15, D2, D21, D3, D4, D8}","{D1, D3, D4}","{D1, D5, D6, D7}"
1,B6,"{D8, D9}","{D1, D5}","{D1, D5, D6, D7}","{D6, D7, D8, D9}"
1,B7,"{D10, D11, D12, D13, D14, D15}","{D16, D17, D18, D19, D2, D20, D21, D3, D7}","{D1, D3}","{D1, D10, D11, D12, D13, D14, D15}"
1,B8,"{D16, D17, D18, D19, D20, D21}","{D10, D11, D12, D13, D14, D15, D2, D3, D7}","{D1, D10, D11, D12, D13, D14, D15}","{D1, D16, D17, D18, D19, D20, D21}"
1,B9,{D22},{},"{D1, D16, D17, D18, D19, D20, D21}","{D1, D16, D17, D18, D19, D20, D21, D22}"
1,B10,"{D23, D24, D25}","{D26, D27, D28}","{D1, D16, D17, D18, D19, D20, D21, D22}","{D1, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25}"
1,B11,"{D26, D27, D28}","{D23, D24, D25}","{D1, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25}","{D1, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28}"
1,EXIT,{},{},"{D1, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28}","{D1, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28}"
2,ENTRY,{},{},{},{}
2,B1,{D1},{D9},{},{D1}
2,B2,{D2},"{D15, D21, D3, D7}",{D1},"{D1, D2}"
2,B3,{D3},"{D15, D2, D21, D7}","{D1, D2, D3, D6, D7, D8, D9}","{D1, D3, D6, D8, D9}"
2,B4,{D4},{D6},"{D1, D3, D6, D8, D9}","{D1, D3, D4, D8, D9}"
2,B5,"{D5, D6, D7}","{D15, D2, D21, D3, D4, D8}","{D1, D3, D4, D5, D6, D7, D8, D9}","{D1, D5, D6, D7, D9}"
2,B6,"{D8, D9}","{D1, D5}","{D1, D5, D6, D7, D9}","{D6, D7, D8, D9}"
2,B7,"{D10, D11, D12, D13, D14, D15}","{D16, D17, D18, D19, D2, D20, D21, D3, D7}","{D1, D3, D6, D8, D9}","{D1, D10, D11, D12, D13, D14, D15, D6, D8, D9}"
2,B8,"{D16, D17, D18, D19, D20, D21}","{D10, D11, D12, D13, D14, D15, D2, D3, D7}","{D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D6, D8, D9}","{D1, D16, D17, D18, D19, D20, D21, D6, D8, D9}"
2,B9,{D22},{},"{D1, D16, D17, D18, D19, D20, D21, D6, D8, D9}","{D1, D16, D17, D18, D19, D20, D21, D22, D6, D8, D9}"
2,B10,"{D23, D24, D25}","{D26, D27, D28}","{D1, D16, D17, D18, D19, D20, D21, D22, D6, D8, D9}","{D1, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D6, D8, D9}"
2,B11,"{D26, D27, D28}","{D23, D24, D25}","{D1, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D6, D8, D9}","{D1, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D6, D8, D9}"
2,EXIT,{},{},"{D1, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D6, D8, D9}","{D1, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D6, D8, D9}"
3,ENTRY,{},{},{},{}
3,B1,{D1},{D9},{},{D1}
3,B2,{D2},"{D15, D21, D3, D7}",{D1},"{D1, D2}"
3,B3,{D3},"{D15, D2, D21, D7}","{D1, D2, D3, D6, D7, D8, D9}","{D1, D3, D6, D8, D9}"
3,B4,{D4},{D6},"{D1, D3, D6, D8, D9}","{D1, D3, D4, D8, D9}"
3,B5,"{D5, D6, D7}","{D15, D2, D21, D3, D4, D8}","{D1, D3, D4, D5, D6, D7, D8, D9}","{D1, D5, D6, D7, D9}"
3,B6,"{D8, D9}","{D1, D5}","{D1, D5, D6, D7, D9}","{D6, D7, D8, D9}"
3,B7,"{D10, D11, D12, D13, D14, D15}","{D16, D17, D18, D19, D2, D20, D21, D3, D7}","{D1, D3, D6, D8, D9}","{D1, D10, D11, D12, D13, D14, D15, D6, D8, D9}"
3,B8,"{D16, D17, D18, D19, D20, D21}","{D10, D11, D12, D13, D14, D15, D2, D3, D7}","{D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D6, D8, D9}","{D1, D16, D17, D18, D19, D20, D21, D6, D8, D9}"
3,B9,{D22},{},"{D1, D16, D17, D18, D19, D20, D21, D6, D8, D9}","{D1, D16, D17, D18, D19, D20, D21, D22, D6, D8, D9}"
3,B10,"{D23, D24, D25}","{D26, D27, D28}","{D1, D16, D17, D18, D19, D20, D21, D22, D6, D8, D9}","{D1, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D6, D8, D9}"
3,B11,"{D26, D27, D28}","{D23, D24, D25}","{D1, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D6, D8, D9}","{D1, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D6, D8, D9}"
3,EXIT,{},{},"{D1, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D6, D8, D9}","{D1, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D6, D8, D9}"
